lemma,count,freq,freq_per_1000
es,3294,0.012172004389903223,12.172
mēs,2965,0.010956282032806028,10.956
cilvēks,2638,0.00974795008517447,9.748
sava,1682,0.006215334360600249,6.215
jūs,1680,0.0062079439511346125,6.208
laiks,1543,0.005701700902738516,5.702
bērns,1515,0.005598235170219606,5.598
daudz,1297,0.004792680538465234,4.793
viņš,1254,0.00463378673495405,4.634
gads,1253,0.004630091530221232,4.63
viens,1181,0.00436403678945832,4.364
būt,1176,0.004345560765794228,4.346
pats,1149,0.004245790238008137,4.246
cits,1004,0.003709985551749495,3.71
valsts,981,0.0036249958428946757,3.625
liels,858,0.0031704856607580345,3.17
varēt,845,0.0031224479992313973,3.122
ļoti,842,0.003111362385032943,3.111
zināt,827,0.0030559343140406695,3.056
darīt,817,0.003018982266712487,3.019
tas,793,0.00293029735312485,2.93
tagad,790,0.002919211738926395,2.919
vakcīna,785,0.002900735715262304,2.901
paldies,764,0.0028231364158731215,2.823
labs,746,0.0027566227306823933,2.757
ārsts,737,0.0027233658880870294,2.723
latvija,717,0.002649461793430665,2.649
savs,693,0.0025607768798430277,2.561
veselība,686,0.0025349104467133,2.535
viss,673,0.0024868727851866633,2.487
domāt,649,0.002398187871599026,2.398
pasaule,635,0.0023464550053395707,2.346
jauns,630,0.0023279789816754797,2.328
saprast,607,0.0022429892728206605,2.243
sistēma,604,0.002231903658622206,2.232
diena,593,0.0021912564065612056,2.191
tauta,590,0.002180170792362751,2.18
sevis,585,0.00216169476869866,2.162
labi,580,0.0021432187450345684,2.143
darbs,552,0.0020397530125156583,2.04
redzēt,548,0.0020249721935843854,2.025
te,523,0.00193259207526393,1.933
tiesība,515,0.0019030304374013842,1.903
teikt,510,0.0018845544137372932,1.885
ģimene,508,0.0018771640042716568,1.877
vairs,505,0.001866078390073202,1.866
dr,500,0.0018476023664091108,1.848
likums,500,0.0018476023664091108,1.848
iespējams,493,0.0018217359332793834,1.822
gadījums,487,0.001799564704882474,1.8
tieši,483,0.0017847838859512011,1.785
vēzis,460,0.001699794177096382,1.7
vakcinācija,458,0.0016924037676307455,1.692
zeme,455,0.001681318153432291,1.681
vecāks,452,0.0016702325392338362,1.67
dzīve,447,0.0016517565155697452,1.652
daudzi,442,0.001633280491905654,1.633
sākt,436,0.0016111092635087447,1.611
jautājums,430,0.0015889380351118353,1.589
kāds,419,0.001548290783050835,1.548
visa,418,0.0015445955783180167,1.545
vajadzēt,417,0.0015409003735851986,1.541
matvija,413,0.0015261195546539257,1.526
video,413,0.0015261195546539257,1.526
persona,409,0.0015113387357226528,1.511
vieta,406,0.001500253121524198,1.5
vārds,405,0.00149655791679138,1.497
iet,405,0.00149655791679138,1.497
medicīna,393,0.001452215459997561,1.452
lieta,388,0.00143373943633347,1.434
dot,378,0.0013967873890052879,1.397
izmantot,375,0.001385701774806833,1.386
kopā,373,0.0013783113653411967,1.378
mana,369,0.0013635305464099238,1.364
informācija,365,0.0013487497274786509,1.349
cilveks,364,0.0013450545227458328,1.345
veids,362,0.0013376641132801963,1.338
vara,361,0.001333968908547378,1.334
runāt,361,0.001333968908547378,1.334
gribēt,353,0.0013044072706848322,1.304
sabiedrība,351,0.0012970168612191958,1.297
šobrīd,347,0.001282236042287923,1.282
mednis,343,0.00126745522335665,1.267
sacīt,342,0.001263760018623832,1.264
slimība,341,0.0012600648138910136,1.26
dzīvot,341,0.0012600648138910136,1.26
karš,341,0.0012600648138910136,1.26
palikt,339,0.0012526744044253771,1.253
patiesība,338,0.001248979199692559,1.249
pirmais,336,0.0012415887902269226,1.242
spēks,332,0.0012268079712956497,1.227
rakstīt,330,0.0012194175618300133,1.219
iespēja,330,0.0012194175618300133,1.219
pētījums,328,0.0012120271523643768,1.212
slimnīca,326,0.0012046367428987404,1.205
protams,325,0.001200941538165922,1.201
tiesa,324,0.001197246333433104,1.197
pacients,320,0.001182465514501831,1.182
piemērs,319,0.0011787703097690127,1.179
saukt,319,0.0011787703097690127,1.179
dievs,315,0.0011639894908377398,1.164
daļa,315,0.0011639894908377398,1.164
saruna,309,0.0011418182624408305,1.142
ziņa,306,0.001130732648242376,1.131
vienkārši,305,0.0011270374435095576,1.127
šūna,305,0.0011270374435095576,1.127
radīt,304,0.0011233422387767395,1.123
saņemt,296,0.0010937806009141935,1.094
grupa,295,0.0010900853961813754,1.09
reize,294,0.001086390191448557,1.086
divi,292,0.0010789997819829207,1.079
veikt,291,0.0010753045772501026,1.075
pati,289,0.0010679141677844661,1.068
atrast,283,0.0010457429393875568,1.046
palīdzēt,283,0.0010457429393875568,1.046
strādāt,281,0.0010383525299219203,1.038
asv,278,0.0010272669157234656,1.027
doma,275,0.001016181301525011,1.016
tāpat,273,0.0010087908920593746,1.009
kāda,273,0.0010087908920593746,1.009
viedoklis,267,0.0009866196636624653,0.987
lietot,262,0.0009681436399983742,0.968
cita,256,0.0009459724116014648,0.946
puse,254,0.0009385820021358284,0.939
augsts,253,0.0009348867974030102,0.935
turpināt,253,0.0009348867974030102,0.935
ticēt,250,0.0009238011832045554,0.924
otrs,249,0.0009201059784717372,0.92
pieņemt,249,0.0009201059784717372,0.92
ārstēšana,247,0.0009127155690061007,0.913
atkal,243,0.0008979347500748278,0.898
situācija,242,0.0008942395453420096,0.894
